Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.88,-41.17,belle (grounded),8/5/2016
A56,12,7,-50.57,-23,weddw,8/5/2016
A57A,11,5,-68.75,-58.93,belle,8/5/2016
A57B,7,4,-68.88,-60.08,belle,8/5/2016
A61,13,4,-67.72,-36.28,belle,8/5/2016
A63,11,3,-76.43,-45.67,belle (fasted),8/5/2016
A64,16,11,-69.72,-61.07,belle (fasted),8/5/2016
A66,7,4,-55.17,-40.5,belle,8/5/2016
B09B,27,10,-66.58,142.65,wilke,8/5/2016
B09D,22,6,-69.5,-41.33,belle,8/5/2016
B09F,20,8,-70.55,-42.87,belle,8/5/2016
B09G,12,7,-68.02,41.68,amerw (fasted),8/5/2016
B09H,11,2,-71.03,-35.57,belle,8/5/2016
B09I,12,6,-65.1,135.52,wilke(fasted),8/5/2016
B15K,16,3,-55.35,-46.53,belle,8/5/2016
B15T,25,6,-71.58,-42.53,belle,8/5/2016
B15Z,15,7,-72.22,-41.82,belle,8/5/2016
B15AA,11,6,-68.25,38.95,amerw,8/5/2016
B15AB,11,4,-65.95,51.33,amerw (fasted),8/5/2016
B16,16,6,-76.23,-34.27,belle,8/5/2016
B22A,44,24,-74.1,-108.92,amune (grounded),8/5/2016
B28,10,7,-74.75,-108.9,amune (fasted),8/5/2016
B29,11,5,-74.58,-108.98,amune (fasted),8/5/2016
B30,26,18,-74.35,-148.27,amunw,8/5/2016
B31,18,11,-71.38,-114.32,amunw,8/5/2016
B34,10,3,-69.17,-178.47,rossc,8/5/2016
B35,7,3,-73.68,-106.97,amune,8/5/2016
B37,8,3,-74.57,-108.67,amune (fasted),8/5/2016
B38,6,4,-76.98,-155.07,rosse (fasted),8/5/2016
B39,8,4,-65.1,134.65,wilke (fasted),8/5/2016
B40,8,5,-65.23,133.97,wilke,8/5/2016
C15,14,10,-66.45,143.15,wilke,8/5/2016
C18B,20,4,-65.47,114.02,wilkw (grounded),8/5/2016
C21B,12,8,-64.97,95.92,wilkw (fasted),8/5/2016
C24,11,3,-64.82,96.05,wilkw (fasted),8/5/2016
C28B,21,14,-70.72,-42.63,belle,8/5/2016
C29,7,5,-66.13,143,wilke,8/5/2016
C30,9,3,-64.78,96.28,wilkw (fasted),8/5/2016
C31,9,3,-64.72,96.5,wilkw,8/5/2016
C32,7,5,-70.05,162.53,rossw (grounded),8/5/2016
C33,11,4,-74.23,167.87,rossc,8/5/2016
D15A,51,24,-66.7,81.92,amere (fasted),8/5/2016
D15B,33,12,-67,81.63,amere (fasted),8/5/2016
D20A,27,9,-68.97,36.38,amerw (fasted),8/5/2016
D20B,11,2,-68.58,35.88,amerw (fasted),8/5/2016
D21A,14,4,-70.87,-36.3,belle,8/5/2016
D21B,11,4,-65.98,81.72,amere,8/5/2016
D22,12,3,-65.95,86.95,amere (grounded),8/5/2016
D23,8,6,-69.43,74.62,amere (fasted),8/5/2016
D26,18,1,-69.35,29.52,wedde,8/5/2016
