Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A23A,40,32,-58.65,-46.21,1424.85,1075.93,3690.35,08/08/2024
A74A,30,18,-67.32,-58.45,417.73,315.44,1081.92,08/08/2024
A74B,8,4,-61.06,-53.41,31.43,23.73,81.39,08/08/2024
A76B,15,7,-62.62,-58.34,85.54,64.59,221.55,08/08/2024
A76C,16,7,-63.81,-56.42,135.08,102.00,349.85,08/08/2024
A76N,9,4,-62.04,-54.06,35.00,26.43,90.65,08/08/2024
A77,27,4,-67.54,-59.23,128.09,96.73,331.76,08/08/2024
A80A,10,9,-63.65,-56.37,81.30,61.39,210.57,08/08/2024
A80D,6,5,-64.04,-54.22,21.49,16.23,55.66,08/08/2024
A81,28,25,-72.46,-50.93,520.69,393.18,1348.57,08/08/2024
A82,12,6,-70.14,-85.8,49.36,37.28,127.85,08/08/2024
A83,20,7,-75.32,-25.91,130.53,98.57,338.08,08/08/2024
B09B,27,10,-66.13,143.21,195.19,147.39,505.54,08/08/2024
B09G,12,7,-68.2,41.7,62.53,47.22,161.94,08/08/2024
B15AB,10,4,-72.67,-41.76,34.61,26.14,89.65,08/08/2024
B22A,44,24,-72.77,-124.88,1017.13,768.06,2634.34,08/08/2024
B29,11,5,-73.77,-110.39,25.28,19.09,65.46,08/08/2024
B38,6,4,-75.81,-151.54,23.64,17.85,61.24,08/08/2024
B39,8,4,-61.55,-53.64,30.02,22.67,77.76,08/08/2024
B45,8,6,-73.14,-119.62,29.55,22.31,76.53,08/08/2024
B47,19,5,-74.08,-137.8,38.87,29.35,100.68,08/08/2024
C15,14,10,-65.9,143.12,85.20,64.33,220.66,08/08/2024
C18B,20,4,-67.07,78.34,79.51,60.04,205.94,08/08/2024
C21B,12,8,-64.98,95.85,99.64,75.24,258.06,08/08/2024
C24,11,3,-64.84,96.02,24.06,18.17,62.33,08/08/2024
C29,7,5,-65.86,142.62,25.89,19.55,67.05,08/08/2024
C30,9,3,-64.78,96.28,29.75,22.47,77.05,08/08/2024
C31,9,3,-64.68,96.5,27.83,21.01,72.08,08/08/2024
C33,11,4,-65.56,109.45,28.96,21.87,75.02,08/08/2024
C35,8,5,-66.34,143.04,22.27,16.81,57.67,08/08/2024
C36,23,16,-67.91,147.46,312.94,236.30,810.50,08/08/2024
C38B,8,7,-66.11,92.23,18.49,13.96,47.88,08/08/2024
C39,15,8,-64.38,97.94,79.71,60.19,206.45,08/08/2024
D15A,51,22,-66.63,81.92,1178.62,890.00,3052.60,08/08/2024
D15B,32,12,-66.98,81.46,327.08,246.98,847.13,08/08/2024
D20A,14,5,-57.55,-42.31,47.63,35.97,123.36,08/08/2024
D23,7,6,-69.44,74.69,47.61,35.95,123.32,08/08/2024
D32,9,6,-69.5,27.85,50.75,38.32,131.43,08/08/2024
D33A,34,10,-73.68,-42.09,245.81,185.61,636.63,08/08/2024
D33B,21,12,-76.0,-33.65,124.14,93.74,321.51,08/08/2024
D33C,15,7,-73.86,-41.27,87.80,66.30,227.39,08/08/2024
D34,11,8,-67.18,82.02,67.08,50.66,173.75,08/08/2024
D35,28,6,-72.1,-16.57,149.18,112.65,386.36,08/08/2024
D36,11,5,-66.31,86.63,26.06,19.68,67.49,08/08/2024
