Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A23A,40,32,-57.37,-40.46,1406.69,1062.22,3643.30,12/20/2024
A74A,30,18,-64.73,-56.78,417.73,315.44,1081.92,12/20/2024
A76B,15,7,-52.58,-42.48,83.85,63.32,217.17,12/20/2024
A76C,16,7,-64.15,-55.83,134.60,101.64,348.61,12/20/2024
A76N,9,4,-52.45,-41.78,26.46,19.98,68.53,12/20/2024
A77,27,4,-65.73,-58.94,128.09,96.73,331.76,12/20/2024
A80A,9,7,-63.93,-56.35,52.49,39.64,135.95,12/20/2024
A81,28,25,-69.52,-58.11,520.69,393.18,1348.57,12/20/2024
A82,12,8,-67.93,-87.03,47.78,36.08,123.74,12/20/2024
A83,12,7,-76.1,-28.9,77.60,58.60,200.99,12/20/2024
B09B,27,10,-66.12,143.2,195.19,147.39,505.54,12/20/2024
B09G,12,7,-68.2,41.69,62.53,47.22,161.94,12/20/2024
B15AB,10,4,-68.83,-55.5,35.70,26.95,92.45,12/20/2024
B22A,33,26,-74.54,-145.28,612.11,462.21,1585.35,12/20/2024
B22F,22,15,-74.29,-142.04,264.29,199.57,684.52,12/20/2024
B22G,9,5,-74.13,-138.17,34.91,26.36,90.41,12/20/2024
B29,11,5,-73.77,-110.41,25.28,19.09,65.46,12/20/2024
B38,6,4,-71.65,-171.08,23.15,17.48,59.96,12/20/2024
B45,7,4,-73.16,-119.33,28.00,21.14,72.52,12/20/2024
B47,19,5,-74.63,-141.24,38.87,29.35,100.68,12/20/2024
C15,14,10,-65.88,143.06,85.20,64.33,220.66,12/20/2024
C18B,20,4,-67.15,78.16,79.51,60.04,205.94,12/20/2024
C21B,12,8,-64.98,95.84,99.64,75.24,258.06,12/20/2024
C24,11,3,-64.84,96.03,24.06,18.17,62.33,12/20/2024
C29,7,5,-65.58,139.76,25.89,19.55,67.05,12/20/2024
C30,9,3,-64.78,96.28,29.47,22.25,76.33,12/20/2024
C31,9,3,-64.68,96.49,27.83,21.01,72.08,12/20/2024
C33,11,4,-66.01,105.84,26.72,20.18,69.20,12/20/2024
C35,8,5,-66.35,143.06,22.27,16.81,57.67,12/20/2024
C36,23,16,-67.9,147.45,312.94,236.30,810.50,12/20/2024
C38B,8,7,-66.09,92.18,18.71,14.13,48.46,12/20/2024
C39,15,8,-64.58,97.73,79.71,60.19,206.45,12/20/2024
D15A,51,22,-66.63,81.92,1178.62,890.00,3052.60,12/20/2024
D15B,32,12,-66.98,81.46,327.08,246.98,847.13,12/20/2024
D20A,14,5,-54.4,-32.28,25.23,19.05,65.35,12/20/2024
D23,7,6,-69.44,74.71,47.61,35.95,123.32,12/20/2024
D32,9,6,-70.12,-2.94,46.68,35.25,120.91,12/20/2024
D33A,34,10,-70.57,-56.22,261.21,197.24,676.52,12/20/2024
D33B,21,12,-76.42,-38.0,120.53,91.01,312.16,12/20/2024
D33C,15,7,-71.26,-54.7,87.80,66.30,227.39,12/20/2024
D34,11,8,-67.18,82.02,67.08,50.66,173.75,12/20/2024
D35,28,6,-74.58,-28.3,136.27,102.90,352.94,12/20/2024
D36,11,5,-66.3,86.63,26.06,19.68,67.49,12/20/2024
