Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,40,32,-62.82,-52.44,,11/24/2023
A74A,30,18,-71.61,-54.63,Calved from north Brunt,11/24/2023
A74B,8,4,-68.22,-54.56,Calved from A74,11/24/2023
A76B,20,7,-65.29,-57.79,,11/24/2023
A76C,16,7,-65.38,-58.92,,11/24/2023
A77,27,4,-72.51,-54.61,Calved from Ekstrom Ice shelf,11/24/2023
A78,18,4,-60.88,-31.36,,11/24/2023
A80A,11,9,-65.7,-56.95,,11/24/2023
A80D,6,5,-65.59,-56.73,,11/24/2023
A81,28,25,-76.44,-48.95,Brunt Ice Shelf,11/24/2023
B09B,27,10,-66.17,143.43,Grounded,11/24/2023
B09G,12,7,-68.19,41.72,,11/24/2023
B15AB,11,4,-72.19,-15.89,Result of B15T calving,11/24/2023
B22A,44,24,-71.59,-113.76,,11/24/2023
B29,11,5,-73.56,-109.78,,11/24/2023
B38,6,4,-76.81,-155.32,,11/24/2023
B39,8,4,-70.88,-54.98,,11/24/2023
B45,8,6,-72.28,-112.88,Calved from Crosson ice shelf,11/24/2023
B46,18,5,-63.93,-145.42,Calved from PIG,11/24/2023
B47,19,5,-72.87,-124.87,Calved from the Getz Ice Shelf,11/24/2023
C15,14,10,-65.93,143.18,,11/24/2023
C18B,20,4,-65.78,81.61,,11/24/2023
C21B,12,8,-64.99,95.86,Fasted,11/24/2023
C24,11,3,-64.84,96.02,Fasted,11/24/2023
C29,7,5,-66.06,142.75,Grounded,11/24/2023
C30,9,3,-64.78,96.29,Fasted,11/24/2023
C31,9,3,-64.68,96.5,Fasted,11/24/2023
C33,11,4,-65.58,123.99,Calved off Nansen Ice Shelf,11/24/2023
C35,8,5,-66.27,142.99,Calved from Ninnis Ice Shelf,11/24/2023
C36,23,16,-67.91,147.46,Calved from Ninnis Ice Shelf,11/24/2023
C38B,8,7,-64.91,98.45,,11/24/2023
C39,15,8,-64.66,98.32,,11/24/2023
D15A,51,22,-66.63,81.91,Grounded,11/24/2023
D15B,32,12,-66.96,81.57,Grounded,11/24/2023
D20A,14,5,-62.24,-50.3,,11/24/2023
D23,7,6,-69.43,74.7,Fasted,11/24/2023
D27,8,5,-71.1,-44.85,,11/24/2023
D28,30,19,-55.85,-35.31,Calved from Amery Ice Shelf,11/24/2023
D29A,21,9,-58.72,-25.59,,11/24/2023
D29B,13,7,-57.27,-42.21,,11/24/2023
D29C,13,6,-60.42,-35.22,,11/24/2023
D30A,39,11,-56.82,-44.15,,11/24/2023
D30B,15,5,-60.88,-44.99,,11/24/2023
D31,16,2,-60.45,-37.82,,11/24/2023
D32,10,9,-65.48,55.13,Calved from Amery Ice Shelf,11/24/2023
D33A,34,10,-69.66,5.51,,11/24/2023
D33B,21,12,-69.41,11.02,,11/24/2023
D34,11,8,-67.18,82.12,Calved off of West Ice Shelf,11/24/2023
