Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.88,-41.17,belle (grounded),12/19/14
A56,14,7,-70.53,-55.65,belle,12/19/14
A57,11,5,-77.13,-49.40,belle,12/19/14
A61,13,4,-72.37,-16.62,weddw (fasted),12/19/14
A63,11,3,-76.47,-45.02,belle,12/19/14
A64,16,11,-69.72,-61.07,belle (fasted),12/19/14
B09B,27,10,-66.62,142.72,wilke (fasted),12/19/14
B09D,22,6,-69.05,29.77,weddw (grounded),12/19/14
B09F,21,8,-66.70,46.23,amerw,12/19/14
B09G,12,7,-66.05,49.63,amerw,12/19/14
B15K,16,3,-66.93,-59.75,belle,12/19/14
B15R,10,2,-70.58,-48.92,belle,12/19/14
B15T,28,7,-67.85,40.55,amerw,12/19/14
B15X,10,7,-66.60,-56.85,belle,12/19/14
B15Y,11,2,-64.12,-56.67,belle,12/19/14
B15Z,20,8,-67.00,45.68,amerw,12/19/14
B15AA,11,6,-65.82,51.55,amerw (grounded),12/19/14
B15AB,11,4,-65.92,51.32,amerw (grounded),12/19/14
B16,16,6,-68.83,30.65,amerw,12/19/14
B17A,19,6,-55.18,-36.35,belle (grounded),12/19/14
B22A,44,24,-74.10,-108.92,amune (fasted),12/19/14
B28,10,7,-74.80,-108.97,amune (fasted),12/19/14
B29,11,5,-74.63,-109.08,amune (fasted),12/19/14
B30,31,18,-73.78,-128.30,amunw,12/19/14
B31,18,11,-72.77,-110.97,amune,12/19/14
B32,11,1,-74.40,-138.45,amunw,12/19/14
C15,14,10,-67.20,146.05,wilke (fasted),12/19/14
C18B,20,4,-65.53,113.98,wilkw (fasted),12/19/14
C21B,12,8,-64.97,95.92,wilkw (fasted),12/19/14
C24,11,3,-64.82,96.05,wilkw (fasted),12/19/14
C28B,21,14,-66.33,48.17,amerw,12/19/14
D15,55,29,-66.80,81.90,amere (fasted),12/19/14
D20A,27,9,-69.15,36.48,amerw (fasted),12/19/14
D20B,11,2,-69.02,36.27,amerw (fasted),12/19/14
D21A,21,5,-66.67,60.23,amere,12/19/14
D21B,11,4,-66.08,85.30,amere (fasted),12/19/14
D22,12,3,-65.97,86.92,amere (fasted),12/19/14
