Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A23A,40,32,-59.08,-44.76,1482.73,1119.64,3840.24,04/26/2024
A74A,30,18,-70.55,-56.6,395.42,298.59,1024.14,04/26/2024
A74B,8,4,-62.24,-54.15,34.19,25.81,88.54,04/26/2024
A76B,20,7,-64.31,-55.22,161.54,121.98,418.38,04/26/2024
A76C,16,7,-64.61,-56.01,133.18,100.56,344.92,04/26/2024
A77,27,4,-70.26,-57.14,128.09,96.73,331.76,04/26/2024
A78,18,4,-58.18,-26.17,29.35,22.16,76.02,04/26/2024
A80A,11,9,-64.4,-55.94,94.78,71.57,245.49,04/26/2024
A80D,6,5,-64.74,-56.61,41.73,31.51,108.07,04/26/2024
A81,28,25,-75.88,-49.26,520.69,393.18,1348.57,04/26/2024
A82,12,6,-70.77,-94.61,49.61,37.46,128.48,04/26/2024
B09B,27,10,-66.15,143.38,195.19,147.39,505.54,04/26/2024
B09G,12,7,-68.19,41.77,62.53,47.22,161.94,04/26/2024
B15AB,10,4,-73.71,-30.87,34.61,26.14,89.65,04/26/2024
B22A,44,24,-72.29,-119.51,1017.13,768.06,2634.34,04/26/2024
B29,11,5,-73.75,-110.58,26.43,19.96,68.46,04/26/2024
B38,6,4,-76.82,-155.33,23.64,17.85,61.24,04/26/2024
B39,8,4,-67.5,-57.0,30.02,22.67,77.76,04/26/2024
B45,8,6,-71.85,-118.85,32.01,24.17,82.91,04/26/2024
B47,19,5,-74.46,-137.35,38.87,29.35,100.68,04/26/2024
C15,14,10,-65.9,143.14,85.20,64.33,220.66,04/26/2024
C18B,20,4,-66.99,78.44,79.51,60.04,205.94,04/26/2024
C21B,12,8,-64.98,95.85,99.64,75.24,258.06,04/26/2024
C24,11,3,-64.84,96.02,24.06,18.17,62.33,04/26/2024
C29,7,5,-65.87,142.66,25.89,19.55,67.05,04/26/2024
C30,9,3,-64.78,96.28,29.75,22.47,77.05,04/26/2024
C31,9,3,-64.68,96.51,27.83,21.01,72.08,04/26/2024
C33,11,4,-65.45,116.35,28.96,21.87,75.02,04/26/2024
C35,8,5,-66.29,143.33,22.27,16.81,57.67,04/26/2024
C36,23,16,-67.91,147.46,312.94,236.30,810.50,04/26/2024
C38B,8,7,-66.08,92.32,17.33,13.09,44.90,04/26/2024
C39,15,8,-64.45,97.77,82.18,62.06,212.84,04/26/2024
D15A,51,22,-66.63,81.92,1180.50,891.42,3057.47,04/26/2024
D15B,32,12,-66.99,81.46,336.66,254.22,871.96,04/26/2024
D20A,14,5,-61.77,-42.62,57.75,43.61,149.56,04/26/2024
D23,7,6,-69.44,74.69,47.61,35.95,123.32,04/26/2024
D27,8,5,-67.57,-55.01,30.61,23.11,79.27,04/26/2024
D28A,16,13,-51.86,-25.18,128.40,96.95,332.54,04/26/2024
D28B,17,12,-52.1,-26.52,176.41,133.21,456.90,04/26/2024
D29A,21,9,-55.29,-9.53,107.69,81.32,278.91,04/26/2024
D30A,23,9,-54.04,-30.72,74.58,56.32,193.17,04/26/2024
D30C,13,6,-52.38,-24.74,36.27,27.39,93.93,04/26/2024
D32,10,9,-65.73,48.32,72.58,54.80,187.97,04/26/2024
D33A,34,10,-73.98,-29.13,245.81,185.61,636.63,04/26/2024
D33B,21,12,-73.75,-25.69,124.14,93.74,321.51,04/26/2024
D33C,0,0,-72.92,-22.33,87.80,66.30,227.39,04/26/2024
D34,11,8,-67.18,82.04,68.77,51.93,178.12,04/26/2024
D35,28,6,-71.53,-15.03,149.18,112.65,386.36,04/26/2024
D36,11,5,-66.31,86.63,26.06,19.68,67.49,04/26/2024
