Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.79,-41.06,belle (grounded),4/19/2019
A57A,11,5,-60.28,-54.02,belle,4/19/2019
A63,11,3,-76.28,-46.74,belle (grounded),4/19/2019
A64,16,11,-69.73,-60.98,belle (grounded),4/19/2019
A68A,82,26,-65.95,-59.55,belle,4/19/2019
A68B,7,3,-64.58,-59.33,belle,4/19/2019
B09B,27,9,-66.27,143.33,wilke ,4/19/2019
B09F,17,3,-56.87,-42.53,belle,4/19/2019
B09G,12,7,-67.97,41.70,amerw,4/19/2019
B09I,12,6,-65.80,79.52,amere,4/19/2019
B09J,12,1,-57.17,-42.19,belle,4/19/2019
B15AA,11,6,-64.88,-40.52,belle,4/19/2019
B15AB,11,4,-65.98,51.29,amerw (grounded),4/19/2019
B16,16,6,-61.94,-44.10,belle,4/19/2019
B22A,44,24,-74.02,-109.18,amune (grounded),4/19/2019
B28,10,7,-74.70,-108.78,amune (grounded),4/19/2019
B29,11,5,-74.53,-108.90,amune (grounded),4/19/2019
B30,19,13,-64.46,-135.71,amunw,4/19/2019
B37,8,3,-73.56,-108.49,amune,4/19/2019
B38,6,4,-76.98,-155.04,rosse,4/19/2019
B39,8,4,-65.87,109.15,wilkw,4/19/2019
B40,8,5,-65.64,132.26,wilke (grounded),4/19/2019
B42,13,5,-72.95,-125.46,amunw,4/19/2019
B43,10,5,-74.42,-148.15,amunw,4/19/2019
B45,8,6,-74.70,-109.37,amune (grounded),4/19/2019
B46,14,4,-74.47,-103.86,amune,4/19/2019
C15,14,10,-66.09,143.43,wilke (grounded),4/19/2019
C18B,20,4,-65.47,113.88,wilkw ,4/19/2019
C21B,12,8,-64.98,95.90,wilkw (grounded),4/19/2019
C24,11,3,-64.84,96.03,wilkw (grounded),4/19/2019
C29,5,5,-66.10,142.86,wilke (grounded),4/19/2019
C30,9,3,-64.78,96.30,wilkw (grounded),4/19/2019
C31,9,3,-64.69,96.52,wilkw (grounded),4/19/2019
C32,7,4,-66.02,132.75,wilke (grounded),4/19/2019
C33,8,4,-66.77,144.61,wilke,4/19/2019
C34,11,5,-65.88,142.78,wilke,4/19/2019
C35,12,5,-68.26,148.20,wilke (grounded),4/19/2019
C36,23,16,-68.13,147.83,wilke (grounded),4/19/2019
D15A,51,24,-66.65,81.94,amere (grounded),4/19/2019
D15B,33,12,-66.99,81.57,amere (grounded),4/19/2019
D20A,20,9,-68.91,36.30,amerw (grounded),4/19/2019
D21B,11,4,-76.63,-31.49,belle,4/19/2019
D22,11,2,-65.86,87.13,amere,4/19/2019
D23,8,6,-69.43,74.65,amere (grounded),4/19/2019
D26,19,2,-69.41,29.33,wedde (grounded),4/19/2019
D27,8,5,-67.27,81.87,amere (grounded),4/19/2019
