Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.88,-41.17,belle (grounded),10/2/2015
A56,14,7,-60.22,-53.07,belle,10/2/2015
A57,11,5,-72,-57.47,belle,10/2/2015
A61,13,4,-72.37,-16.62,weddw (fasted),10/2/2015
A63,11,3,-76.38,-45.32,belle,10/2/2015
A64,16,11,-69.72,-61.07,belle (fasted),10/2/2015
B09B,27,10,-66.6,142.75,wilke,10/2/2015
B09D,22,6,-74,26.43,weddw,10/2/2015
B09F,21,8,-74.77,-27.95,weddw,10/2/2015
B09G,12,7,-67.4,44.18,amerw (grounded),10/2/2015
B09H,11,2,-69.3,15.5,wedde (fasted),10/2/2015
B15K,16,3,-65.33,-58.28,belle,10/2/2015
B15R,10,2,-60.15,-29.43,weddw,10/2/2015
B15T,28,7,-74.78,-26.47,weddw,10/2/2015
B15X,10,7,-60.98,-53.57,belle,10/2/2015
B15Y,11,2,-63.17,-57.15,belle,10/2/2015
B15Z,16,8,-72.33,-17.15,weddw,10/2/2015
B15AA,11,6,-65.82,51.6,amerw (grounded),10/2/2015
B15AB,11,4,-65.92,51.32,amerw (grounded),10/2/2015
B16,16,6,-74.63,-27.87,weddw,10/2/2015
B22A,44,24,-74.1,-108.92,amune (fasted),10/2/2015
B28,10,7,-74.75,-108.9,amune (fasted),10/2/2015
B29,11,5,-74.62,-108.98,amune (fasted),10/2/2015
B30,31,18,-74.02,-131.43,amunw,10/2/2015
B31,18,11,-71.15,-106.35,amune,10/2/2015
B34,15,5,-75.58,-150.98,rosse,10/2/2015
B35,11,7,-74.43,-104.75,amune,10/2/2015
B36,6,2,-74.62,-104.7,amune,10/2/2015
C15,14,10,-66.38,143.28,wilke,10/2/2015
C18B,20,4,-65.47,114.02,wilkw (fasted),10/2/2015
C21B,12,8,-64.97,95.92,wilkw (fasted),10/2/2015
C24,11,3,-64.82,96.05,wilkw (fasted),10/2/2015
C28B,21,14,-74.45,-27.08,weddw,10/2/2015
D15,55,29,-66.8,81.9,amere (fasted),10/2/2015
D20A,27,9,-69.15,36.48,amerw (fasted),10/2/2015
D20B,11,2,-69.02,36.33,amerw (fasted),10/2/2015
D21A,21,5,-70,4.85,wedde,10/2/2015
D21B,11,4,-66.13,81.65,amere,10/2/2015
D22,12,3,-65.97,86.92,amere (fasted),10/2/2015
