Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.88,-41.17,belle (grounded),11/27/15
A56,14,7,-58.87,-44.10,belle,11/27/15
A57,11,5,-71.78,-58.37,belle,11/27/15
A61,13,4,-72.37,-16.62,weddw (fasted),11/27/15
A63,11,3,-76.40,-45.47,belle,11/27/15
A64,16,11,-69.72,-61.07,belle (fasted),11/27/15
B09B,27,10,-66.60,142.60,wilke,11/27/15
B09D,22,6,-74.15,-30.50,belle,11/27/15
B09F,21,8,-74.77,-27.53,weddw,11/27/15
B09G,12,7,-67.40,44.18,amerw (grounded),11/27/15
B09H,11,2,-69.30,15.50,wedde (fasted),11/27/15
B09I,12,6,-65.52,139.78,wilke,11/27/15
B15K,16,3,-64.68,-56.00,belle,11/27/15
B15R,10,2,-57.55,-24.43,weddw,11/27/15
B15T,28,7,-74.85,-25.98,weddw,11/27/15
B15X,10,7,-58.60,-43.38,belle,11/27/15
B15Y,11,2,-63.17,-57.15,belle (grounded),11/27/15
B15Z,16,8,-73.88,-27.43,weddw,11/27/15
B15AA,11,6,-65.82,51.60,amerw (grounded),11/27/15
B15AB,11,4,-65.92,51.32,amerw (grounded),11/27/15
B16,16,6,-73.95,-32.32,belle,11/27/15
B22A,44,24,-74.10,-108.92,amune (fasted),11/27/15
B28,10,7,-74.75,-108.90,amune (fasted),11/27/15
B29,11,5,-74.62,-108.98,amune (fasted),11/27/15
B30,31,18,-73.92,-131.38,amunw,11/27/15
B31,18,11,-71.68,-108.53,amune,11/27/15
B34,15,5,-75.98,-160.15,rosse,11/27/15
B35,11,7,-74.42,-105.10,amune,11/27/15
C15,14,10,-66.48,143.22,wilke,11/27/15
C18B,20,4,-65.47,114.02,wilkw (fasted),11/27/15
C21B,12,8,-64.97,95.92,wilkw (fasted),11/27/15
C24,11,3,-64.82,96.05,wilkw (fasted),11/27/15
C28B,21,14,-74.20,-29.72,weddw,11/27/15
D15,55,29,-66.80,81.90,amere (fasted),11/27/15
D20A,27,9,-69.15,36.48,amerw (fasted),11/27/15
D20B,11,2,-69.02,36.33,amerw (fasted),11/27/15
D21A,21,5,-70.25,-4.10,weddw,11/27/15
D21B,11,4,-66.13,81.65,amere,11/27/15
D22,12,3,-65.97,86.92,amere (fasted),11/27/15
