Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A23A,40,32,-59.27,-44.91,1424.85,1075.93,3690.35,10/25/2024
A74A,30,18,-65.5,-58.13,417.73,315.44,1081.92,10/25/2024
A76B,15,7,-57.7,-50.01,83.85,63.32,217.17,10/25/2024
A76C,16,7,-63.81,-56.41,134.60,101.64,348.61,10/25/2024
A76N,9,4,-61.64,-53.76,34.06,25.72,88.23,10/25/2024
A77,27,4,-65.91,-59.1,128.09,96.73,331.76,10/25/2024
A80A,9,7,-63.64,-56.39,56.74,42.84,146.95,10/25/2024
A81,28,25,-69.95,-56.64,520.69,393.18,1348.57,10/25/2024
A82,12,8,-69.4,-90.09,47.78,36.08,123.74,10/25/2024
A83,12,7,-76.11,-27.77,80.36,60.68,208.13,10/25/2024
B09B,27,10,-66.13,143.2,195.19,147.39,505.54,10/25/2024
B09G,12,7,-68.2,41.7,62.53,47.22,161.94,10/25/2024
B15AB,10,4,-71.22,-52.23,35.70,26.95,92.45,10/25/2024
B22A,33,26,-73.93,-135.73,655.86,495.25,1698.67,10/25/2024
B22F,22,15,-73.69,-132.24,264.29,199.57,684.52,10/25/2024
B22G,9,5,-73.92,-131.93,34.91,26.36,90.41,10/25/2024
B29,11,5,-73.77,-110.4,25.28,19.09,65.46,10/25/2024
B38,6,4,-74.16,-169.36,23.15,17.48,59.96,10/25/2024
B45,7,4,-73.14,-119.6,29.55,22.31,76.53,10/25/2024
B47,19,5,-74.46,-137.32,38.87,29.35,100.68,10/25/2024
C15,14,10,-65.89,143.06,85.20,64.33,220.66,10/25/2024
C18B,20,4,-67.17,78.2,79.51,60.04,205.94,10/25/2024
C21B,12,8,-64.98,95.85,99.64,75.24,258.06,10/25/2024
C24,11,3,-64.84,96.03,24.06,18.17,62.33,10/25/2024
C29,7,5,-65.79,142.27,25.89,19.55,67.05,10/25/2024
C30,9,3,-64.78,96.29,29.75,22.47,77.05,10/25/2024
C31,9,3,-64.68,96.51,27.83,21.01,72.08,10/25/2024
C33,11,4,-66.18,107.73,26.72,20.18,69.20,10/25/2024
C35,8,5,-66.35,143.05,22.27,16.81,57.67,10/25/2024
C36,23,16,-67.9,147.45,312.94,236.30,810.50,10/25/2024
C38B,8,7,-66.1,92.22,18.71,14.13,48.46,10/25/2024
C39,15,8,-64.51,97.77,79.71,60.19,206.45,10/25/2024
D15A,51,22,-66.63,81.92,1178.62,890.00,3052.60,10/25/2024
D15B,32,12,-66.99,81.45,327.08,246.98,847.13,10/25/2024
D20A,14,5,-57.13,-34.33,36.65,27.67,94.91,10/25/2024
D23,7,6,-69.43,74.71,47.61,35.95,123.32,10/25/2024
D32,9,6,-69.26,13.5,46.68,35.25,120.91,10/25/2024
D33A,34,10,-72.45,-50.25,245.81,185.61,636.63,10/25/2024
D33B,21,12,-75.89,-32.16,120.53,91.01,312.16,10/25/2024
D33C,15,7,-72.98,-50.44,87.80,66.30,227.39,10/25/2024
D34,11,8,-67.18,82.02,67.08,50.66,173.75,10/25/2024
D35,28,6,-73.19,-22.04,149.18,112.65,386.36,10/25/2024
D36,11,5,-66.31,86.63,26.06,19.68,67.49,10/25/2024
