Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A23A,40,32,-58.98,-45.13,1482.73,1119.64,3840.24,05/17/2024
A74A,30,18,-69.59,-57.12,395.42,298.59,1024.14,05/17/2024
A74B,8,4,-62.0,-54.6,34.19,25.81,88.54,05/17/2024
A76B,17,7,-63.39,-53.7,93.70,70.75,242.68,05/17/2024
A76C,16,7,-63.96,-55.87,134.98,101.93,349.60,05/17/2024
A76N,12,4,-63.76,-54.04,48.48,36.61,125.56,05/17/2024
A77,27,4,-69.46,-58.02,128.09,96.73,331.76,05/17/2024
A78,18,4,-57.36,-25.4,29.35,22.16,76.02,05/17/2024
A80A,11,9,-63.82,-56.38,95.21,71.90,246.60,05/17/2024
A80D,6,5,-65.05,-57.63,25.86,19.52,66.96,05/17/2024
A81,28,25,-75.33,-49.73,520.69,393.18,1348.57,05/17/2024
A82,12,6,-70.85,-93.49,49.36,37.28,127.85,05/17/2024
B09B,27,10,-66.14,143.36,195.19,147.39,505.54,05/17/2024
B09G,12,7,-68.21,41.7,62.53,47.22,161.94,05/17/2024
B15AB,10,4,-73.94,-33.28,34.61,26.14,89.65,05/17/2024
B22A,44,24,-72.64,-119.69,1017.13,768.06,2634.34,05/17/2024
B29,11,5,-73.76,-110.47,26.43,19.96,68.46,05/17/2024
B38,6,4,-76.81,-155.28,23.64,17.85,61.24,05/17/2024
B39,8,4,-66.21,-56.16,30.02,22.67,77.76,05/17/2024
B45,8,6,-72.39,-118.31,32.01,24.17,82.91,05/17/2024
B47,19,5,-74.46,-137.38,38.87,29.35,100.68,05/17/2024
C15,14,10,-65.9,143.14,85.20,64.33,220.66,05/17/2024
C18B,20,4,-67.05,78.34,79.51,60.04,205.94,05/17/2024
C21B,12,8,-64.98,95.85,99.64,75.24,258.06,05/17/2024
C24,11,3,-64.84,96.02,24.06,18.17,62.33,05/17/2024
C29,7,5,-65.87,142.66,25.89,19.55,67.05,05/17/2024
C30,9,3,-64.78,96.28,29.75,22.47,77.05,05/17/2024
C31,9,3,-64.68,96.51,27.83,21.01,72.08,05/17/2024
C33,11,4,-65.36,116.23,28.96,21.87,75.02,05/17/2024
C35,8,5,-66.28,143.27,22.27,16.81,57.67,05/17/2024
C36,23,16,-67.91,147.46,312.94,236.30,810.50,05/17/2024
C38B,8,7,-66.1,92.18,17.33,13.09,44.90,05/17/2024
C39,15,8,-64.45,97.75,82.18,62.06,212.84,05/17/2024
D15A,51,22,-66.63,81.92,1180.50,891.42,3057.47,05/17/2024
D15B,32,12,-66.99,81.46,336.66,254.22,871.96,05/17/2024
D20A,14,5,-61.47,-42.78,57.75,43.61,149.56,05/17/2024
D23,7,6,-69.44,74.69,47.61,35.95,123.32,05/17/2024
D27,8,5,-65.75,-54.31,30.61,23.11,79.27,05/17/2024
D28A,16,13,-52.09,-21.39,128.40,96.95,332.54,05/17/2024
D28B,17,12,-52.04,-22.42,176.41,133.21,456.90,05/17/2024
D29A,21,9,-54.98,-3.11,107.69,81.32,278.91,05/17/2024
D30A,23,9,-53.8,-29.71,74.58,56.32,193.17,05/17/2024
D30C,13,6,-52.17,-18.23,36.27,27.39,93.93,05/17/2024
D32,10,9,-67.22,44.4,72.58,54.80,187.97,05/17/2024
D33A,34,10,-74.22,-31.88,245.81,185.61,636.63,05/17/2024
D33B,21,12,-74.5,-29.69,124.14,93.74,321.51,05/17/2024
D33C,15,7,-73.75,-27.63,87.80,66.30,227.39,05/17/2024
D34,11,8,-67.18,82.04,68.77,51.93,178.12,05/17/2024
D35,28,6,-72.1,-16.56,149.18,112.65,386.36,05/17/2024
D36,11,5,-66.31,86.63,26.06,19.68,67.49,05/17/2024
