Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.88,-41.17,belle (grounded),3/20/2015
A56,14,7,-67.73,-55.97,belle,3/20/2015
A57,11,5,-77.2,-49.63,belle,3/20/2015
A61,13,4,-72.37,-16.62,weddw (fasted),3/20/2015
A63,11,3,-76.42,-45.08,belle,3/20/2015
A64,16,11,-69.72,-61.07,belle (fasted),3/20/2015
B09B,27,10,-66.6,142.78,wilke,3/20/2015
B09D,22,6,-69.03,29.88,weddw (grounded),3/20/2015
B09F,21,8,-68.38,32.43,amerw,3/20/2015
B09G,12,7,-66.98,46.03,amerw (grounded),3/20/2015
B15K,16,3,-66.95,-59.93,belle,3/20/2015
B15R,10,2,-67.42,-50.17,belle,3/20/2015
B15T,28,7,-69.67,21.05,wedde,3/20/2015
B15X,10,7,-65.67,-56.63,belle,3/20/2015
B15Y,11,2,-63.8,-56.22,belle,3/20/2015
B15Z,20,8,-67.03,45.38,amerw (grounded),3/20/2015
B15AA,11,6,-65.82,51.6,amerw (grounded),3/20/2015
B15AB,11,4,-65.92,51.32,amerw (grounded),3/20/2015
B16,16,6,-69.53,18.68,wedde,3/20/2015
B17A,19,6,-55.18,-36.33,belle (grounded),3/20/2015
B22A,44,24,-74.1,-108.92,amune (fasted),3/20/2015
B28,10,7,-74.8,-108.97,amune (fasted),3/20/2015
B29,11,5,-74.63,-109.08,amune (fasted),3/20/2015
B30,31,18,-74.07,-131.37,amunw,3/20/2015
B31,18,11,-72.72,-111.05,amune,3/20/2015
B33,11,2,-74.93,-104.8,amune,3/20/2015
B34,15,5,-74.65,-129.07,amunw,3/20/2015
C15,14,10,-66.3,143.07,wilke,3/20/2015
C18B,20,4,-65.47,114.02,wilkw (fasted),3/20/2015
C21B,12,8,-64.97,95.92,wilkw (fasted),3/20/2015
C24,11,3,-64.82,96.05,wilkw (fasted),3/20/2015
C28B,21,14,-66.82,42.72,amerw,3/20/2015
D15,55,29,-66.8,81.9,amere (fasted),3/20/2015
D20A,27,9,-69.15,36.48,amerw (fasted),3/20/2015
D20B,11,2,-69.02,36.27,amerw (fasted),3/20/2015
D21A,21,5,-66.28,48.23,amerw,3/20/2015
D21B,11,4,-66.03,85.27,amere (grounded),3/20/2015
D22,12,3,-65.97,86.92,amere (fasted),3/20/2015
