Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.88,-41.17,belle (grounded),1/2/2015
A56,14,7,-69.98,-55.75,belle,1/2/2015
A57,11,5,-77.13,-49.33,belle,1/2/2015
A61,13,4,-72.37,-16.62,weddw (fasted),1/2/2015
A63,11,3,-76.4,-44.9,belle,1/2/2015
A64,16,11,-69.72,-61.07,belle (fasted),1/2/2015
B09B,27,10,-66.62,142.72,wilke (fasted),1/2/2015
B09D,22,6,-69.05,29.77,weddw (grounded),1/2/2015
B09F,21,8,-67.08,44.4,amerw,1/2/2015
B09G,12,7,-66.63,47.63,amerw,1/2/2015
B15K,16,3,-66.97,-59.73,belle,1/2/2015
B15R,10,2,-70.2,-49.3,belle,1/2/2015
B15T,28,7,-68.37,37.72,amerw,1/2/2015
B15X,10,7,-66.37,-56.78,belle,1/2/2015
B15Y,11,2,-64.12,-56.77,belle,1/2/2015
B15Z,20,8,-67.07,45.33,amerw,1/2/2015
B15AA,11,6,-65.82,51.55,amerw (grounded),1/2/2015
B15AB,11,4,-65.92,51.32,amerw (grounded),1/2/2015
B16,16,6,-69.55,27.53,wedde,1/2/2015
B17A,19,6,-55.22,-36.33,belle,1/2/2015
B22A,44,24,-74.1,-108.92,amune (fasted),1/2/2015
B28,10,7,-74.8,-108.97,amune (fasted),1/2/2015
B29,11,5,-74.63,-109.08,amune (fasted),1/2/2015
B30,31,18,-73.63,-128.47,amunw,1/2/2015
B31,18,11,-72.78,-111.17,amune,1/2/2015
B32,11,1,-74.5,-140.63,amunw,1/2/2015
C15,14,10,-66.98,145.82,wilke,1/2/2015
C18B,20,4,-65.47,114.02,wilkw (fasted),1/2/2015
C21B,12,8,-64.97,95.92,wilkw (fasted),1/2/2015
C24,11,3,-64.82,96.05,wilkw (fasted),1/2/2015
C28B,21,14,-66.73,46.07,amerw,1/2/2015
D15,55,29,-66.8,81.9,amere (fasted),1/2/2015
D20A,27,9,-69.15,36.48,amerw (fasted),1/2/2015
D20B,11,2,-69.02,36.27,amerw (fasted),1/2/2015
D21A,21,5,-65.55,55.02,amerw,1/2/2015
D21B,11,4,-66.08,85.3,amere (fasted),1/2/2015
D22,12,3,-65.97,86.92,amere (fasted),1/2/2015
