Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.88,-41.17,belle (grounded),8/7/2015
A56,14,7,-60.83,-54.27,belle,8/7/2015
A57,11,5,-75.03,-57.27,belle,8/7/2015
A61,13,4,-72.37,-16.62,weddw (fasted),8/7/2015
A63,11,3,-76.37,-45.23,belle,8/7/2015
A64,16,11,-69.72,-61.07,belle (fasted),8/7/2015
B09B,27,10,-66.63,142.73,wilke,8/7/2015
B09D,22,6,-71.42,15.02,weddw,8/7/2015
B09F,21,8,-73.68,-23.73,weddw,8/7/2015
B09G,12,7,-67.4,44.18,amerw (grounded),8/7/2015
B09H,11,2,-69.3,15.5,wedde (fasted),8/7/2015
B15K,16,3,-65.92,-59.1,belle,8/7/2015
B15R,10,2,-62.62,-40.17,belle,8/7/2015
B15T,28,7,-74.03,-26.62,weddw,8/7/2015
B15X,10,7,-61.63,-53.97,belle,8/7/2015
B15Y,11,2,-63.25,-57,belle,8/7/2015
B15Z,16,8,-69.82,-4.2,weddw,8/7/2015
B15AA,11,6,-65.82,51.6,amerw (grounded),8/7/2015
B15AB,11,4,-65.92,51.32,amerw (grounded),8/7/2015
B16,16,6,-73.82,-25.48,weddw,8/7/2015
B22A,44,24,-74.1,-108.92,amune (fasted),8/7/2015
B28,10,7,-74.8,-108.97,amune (fasted),8/7/2015
B29,11,5,-74.63,-109.08,amune (fasted),8/7/2015
B30,31,18,-74.02,-131.63,amunw (grounded),8/7/2015
B31,18,11,-72.07,-112.67,amune,8/7/2015
B34,15,5,-74.57,-144.97,amunw,8/7/2015
C15,14,10,-66.4,143.08,wilke,8/7/2015
C18B,20,4,-65.47,114.02,wilkw (fasted),8/7/2015
C21B,12,8,-64.97,95.92,wilkw (fasted),8/7/2015
C24,11,3,-64.82,96.05,wilkw (fasted),8/7/2015
C28B,21,14,-72.23,-17.65,weddw,8/7/2015
D15,55,29,-66.8,81.9,amere (fasted),8/7/2015
D20A,27,9,-69.15,36.48,amerw (fasted),8/7/2015
D20B,11,2,-69.02,36.33,amerw,8/7/2015
D21A,21,5,-69.55,17.08,wedde,8/7/2015
D21B,11,4,-66.08,81.72,amere,8/7/2015
D22,12,3,-65.97,86.92,amere (fasted),8/7/2015
