Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A23A,40,32,-58.54,-46.86,1482.73,1119.64,3840.24,07/12/2024
A74A,30,18,-67.89,-58.31,395.42,298.59,1024.14,07/12/2024
A74B,8,4,-61.54,-52.47,31.43,23.73,81.39,07/12/2024
A76B,17,7,-62.49,-56.52,93.70,70.75,242.68,07/12/2024
A76C,16,7,-63.84,-56.34,134.98,101.93,349.60,07/12/2024
A76N,12,4,-61.65,-53.44,37.05,27.98,95.96,07/12/2024
A77,27,4,-68.05,-59.02,128.09,96.73,331.76,07/12/2024
A80A,11,9,-63.69,-56.4,95.21,71.90,246.60,07/12/2024
A80D,6,5,-64.31,-55.79,25.86,19.52,66.96,07/12/2024
A81,28,25,-73.57,-50.51,520.69,393.18,1348.57,07/12/2024
A82,12,6,-70.29,-84.87,49.36,37.28,127.85,07/12/2024
A83,20,7,-75.37,-25.53,130.53,98.57,338.08,07/12/2024
B09B,27,10,-66.13,143.34,195.19,147.39,505.54,07/12/2024
B09G,12,7,-68.2,41.7,62.53,47.22,161.94,07/12/2024
B15AB,10,4,-73.19,-39.42,34.61,26.14,89.65,07/12/2024
B22A,44,24,-72.77,-120.39,1017.13,768.06,2634.34,07/12/2024
B29,11,5,-74.06,-109.96,26.43,19.96,68.46,07/12/2024
B38,6,4,-76.67,-155.42,23.64,17.85,61.24,07/12/2024
B39,8,4,-62.12,-53.84,30.02,22.67,77.76,07/12/2024
B45,8,6,-72.69,-118.52,32.01,24.17,82.91,07/12/2024
B47,19,5,-74.46,-137.34,38.87,29.35,100.68,07/12/2024
C15,14,10,-65.9,143.14,85.20,64.33,220.66,07/12/2024
C18B,20,4,-67.07,78.33,79.51,60.04,205.94,07/12/2024
C21B,12,8,-64.98,95.85,99.64,75.24,258.06,07/12/2024
C24,11,3,-64.84,96.02,24.06,18.17,62.33,07/12/2024
C29,7,5,-65.87,142.65,25.89,19.55,67.05,07/12/2024
C30,9,3,-64.78,96.28,29.75,22.47,77.05,07/12/2024
C31,9,3,-64.68,96.5,27.83,21.01,72.08,07/12/2024
C33,11,4,-65.19,113.48,28.96,21.87,75.02,07/12/2024
C35,8,5,-66.25,143.09,22.27,16.81,57.67,07/12/2024
C36,23,16,-67.91,147.46,312.94,236.30,810.50,07/12/2024
C38B,8,7,-66.12,92.21,17.33,13.09,44.90,07/12/2024
C39,15,8,-64.38,97.94,79.71,60.19,206.45,07/12/2024
D15A,51,22,-66.63,81.92,1180.50,891.42,3057.47,07/12/2024
D15B,32,12,-66.99,81.46,336.66,254.22,871.96,07/12/2024
D20A,14,5,-57.85,-42.48,47.63,35.97,123.36,07/12/2024
D23,7,6,-69.44,74.69,47.61,35.95,123.32,07/12/2024
D32,10,9,-68.26,33.15,72.58,54.80,187.97,07/12/2024
D33A,34,10,-74.09,-39.35,245.81,185.61,636.63,07/12/2024
D33B,21,12,-75.1,-30.1,124.14,93.74,321.51,07/12/2024
D33C,15,7,-74.01,-37.24,87.80,66.30,227.39,07/12/2024
D34,11,8,-67.18,82.04,68.77,51.93,178.12,07/12/2024
D35,28,6,-72.1,-16.56,149.18,112.65,386.36,07/12/2024
D36,11,5,-66.31,86.63,26.06,19.68,67.49,07/12/2024
