Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.88,-41.17,belle (grounded),01/22/16
A56,14,7,-57.22,-37.00,belle,01/22/16
A57A,11,5,-71.32,-59.25,belle,01/22/16
A57B,7,4,-69.73,-60.32,belle,01/22/16
A61,13,4,-72.37,-16.62,weddw (fasted),01/22/16
A63,11,3,-76.40,-45.47,belle,01/22/16
A64,16,11,-69.72,-61.07,belle (fasted),01/22/16
A65,9,3,-52.88,-34.37,belle,01/22/16
A66,7,4,-63.65,-55.43,belle,01/22/16
A67,8,4,-75.75,-27.48,weddw,01/22/16
B09B,27,10,-66.60,142.62,wilke,01/22/16
B09D,22,6,-74.40,-31.17,belle,01/22/16
B09F,21,8,-74.62,-28.32,weddw,01/22/16
B09G,12,7,-67.53,42.05,amerw,01/22/16
B09H,11,2,-69.27,14.58,wedde,01/22/16
B09I,12,6,-65.10,139.20,wilke,01/22/16
B15K,16,3,-64.02,-56.18,belle,01/22/16
B15R,10,2,-61.23,-24.47,weddw,01/22/16
B15T,28,7,-74.78,-28.00,weddw,01/22/16
B15X,10,7,-54.85,-38.17,belle,01/22/16
B15Y,11,2,-63.57,-54.20,belle,01/22/16
B15Z,16,8,-74.20,-26.35,weddw,01/22/16
B15AA,11,6,-65.43,50.03,amerw,01/22/16
B15AB,11,4,-65.92,51.32,amerw (grounded),01/22/16
B16,16,6,-75.57,-30.63,belle,01/22/16
B22A,44,24,-74.10,-108.92,amune (fasted),01/22/16
B28,10,7,-74.75,-108.90,amune (fasted),01/22/16
B29,11,5,-74.60,-108.90,amune (fasted),01/22/16
B30,31,18,-73.68,-132.62,amunw,01/22/16
B31,18,11,-71.57,-109.43,amune,01/22/16
B34,15,5,-75.20,-162.72,rosse,01/22/16
B35,11,4,-74.37,-105.28,amune,01/22/16
B37,8,3,-74.60,-108.57,amune,01/22/16
B38,6,4,-76.98,-155.07,rosse (fasted),01/22/16
B39,8,4,-66.22,147.58,wilke,01/22/16
B40,8,5,-65.77,147.83,wilke,01/22/16
C15,14,10,-66.28,143.17,wilke,01/22/16
C18B,20,4,-65.47,114.02,wilkw (fasted),01/22/16
C21B,12,8,-64.97,95.92,wilkw (fasted),01/22/16
C24,11,3,-64.82,96.05,wilkw (fasted),01/22/16
C28B,21,14,-74.30,-29.62,weddw,01/22/16
C29,7,5,-66.17,142.97,wilke (grounded),01/22/16
C30,9,3,-64.78,96.28,wilkw (fasted),01/22/16
C31,9,3,-64.70,96.73,wilkw (fasted),01/22/16
C32,7,5,-70.05,162.53,rossw (fasted),01/22/16
D20A,27,9,-69.15,36.48,amerw (fasted),01/22/16
D20B,11,2,-69.02,36.33,amerw (fasted),01/22/16
D21A,21,5,-70.40,-7.22,weddw,01/22/16
D21B,11,4,-66.12,81.68,amere,01/22/16
D22,12,3,-65.97,86.92,amere (fasted),01/22/16
D23,8,6,-69.43,74.62,amere (fasted),01/22/16
D24,6,5,-66.15,57.80,amerw,01/22/16
