Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A23A,40,32,-59.21,-45.61,1424.85,1075.93,3690.35,10/18/2024
A74A,30,18,-65.83,-58.46,417.73,315.44,1081.92,10/18/2024
A76B,15,7,-57.92,-51.17,83.85,63.32,217.17,10/18/2024
A76C,16,7,-63.78,-56.36,134.60,101.64,348.61,10/18/2024
A76N,9,4,-61.95,-54.1,34.06,25.72,88.23,10/18/2024
A77,27,4,-66.1,-59.28,128.09,96.73,331.76,10/18/2024
A80A,10,9,-63.65,-56.38,70.48,53.22,182.54,10/18/2024
A80D,6,5,-60.93,-49.43,21.49,16.23,55.66,10/18/2024
A81,28,25,-70.1,-56.17,520.69,393.18,1348.57,10/18/2024
A82,12,8,-69.44,-89.82,47.78,36.08,123.74,10/18/2024
A83,12,7,-76.11,-27.77,80.36,60.68,208.13,10/18/2024
B09B,27,10,-66.13,143.2,195.19,147.39,505.54,10/18/2024
B09G,12,7,-68.2,41.7,62.53,47.22,161.94,10/18/2024
B15AB,10,4,-71.18,-51.08,35.70,26.95,92.45,10/18/2024
B22A,33,26,-73.59,-133.68,655.86,495.25,1698.67,10/18/2024
B22F,22,15,-73.59,-130.15,264.29,199.57,684.52,10/18/2024
B22G,9,5,-73.87,-129.96,34.91,26.36,90.41,10/18/2024
B29,11,5,-73.77,-110.4,25.28,19.09,65.46,10/18/2024
B38,6,4,-74.54,-167.55,23.15,17.48,59.96,10/18/2024
B39,8,4,-58.64,-44.02,35.87,27.09,92.91,10/18/2024
B45,7,4,-73.16,-119.47,29.55,22.31,76.53,10/18/2024
B47,19,5,-74.46,-137.32,38.87,29.35,100.68,10/18/2024
C15,14,10,-65.89,143.06,85.20,64.33,220.66,10/18/2024
C18B,20,4,-67.24,78.1,79.51,60.04,205.94,10/18/2024
C21B,12,8,-64.98,95.85,99.64,75.24,258.06,10/18/2024
C24,11,3,-64.85,96.01,24.06,18.17,62.33,10/18/2024
C29,7,5,-65.82,142.57,25.89,19.55,67.05,10/18/2024
C30,9,3,-64.78,96.29,29.75,22.47,77.05,10/18/2024
C31,9,3,-64.68,96.5,27.83,21.01,72.08,10/18/2024
C33,11,4,-66.18,107.73,26.72,20.18,69.20,10/18/2024
C35,8,5,-66.35,143.05,22.27,16.81,57.67,10/18/2024
C36,23,16,-67.9,147.45,312.94,236.30,810.50,10/18/2024
C38B,8,7,-66.12,92.21,18.71,14.13,48.46,10/18/2024
C39,15,8,-64.5,97.73,79.71,60.19,206.45,10/18/2024
D15A,51,22,-66.63,81.92,1178.62,890.00,3052.60,10/18/2024
D15B,32,12,-66.99,81.45,327.08,246.98,847.13,10/18/2024
D20A,14,5,-57.0,-35.57,44.57,33.65,115.42,10/18/2024
D23,7,6,-69.44,74.7,47.61,35.95,123.32,10/18/2024
D32,9,6,-69.24,15.26,46.68,35.25,120.91,10/18/2024
D33A,34,10,-72.3,-49.55,245.81,185.61,636.63,10/18/2024
D33B,21,12,-75.84,-31.78,120.53,91.01,312.16,10/18/2024
D33C,15,7,-72.96,-49.03,87.80,66.30,227.39,10/18/2024
D34,11,8,-67.18,82.02,67.08,50.66,173.75,10/18/2024
D35,28,6,-72.71,-20.3,149.18,112.65,386.36,10/18/2024
D36,11,5,-66.31,86.63,26.06,19.68,67.49,10/18/2024
